City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Manta,EC,2021-10-20 18:52:25,-0.95,-80.7333,76.78,83,90,9.22
68,Pallasovka,RU,2021-10-20 18:55:23,50.05,46.8833,36.05,67,7,7.94
69,Moultonborough,US,2021-10-20 18:55:24,43.7548,-71.3967,70.3,52,11,7.0
70,Butaritari,KI,2021-10-20 18:51:34,3.0707,172.7902,81.34,73,72,8.14
71,Hambantota,LK,2021-10-20 18:51:26,6.1241,81.1185,77.34,100,20,3.44
72,Nikolskoye,RU,2021-10-20 18:50:56,59.7035,30.7861,44.49,96,100,13.09
73,Isangel,VU,2021-10-20 18:51:01,-19.55,169.2667,77.11,83,100,8.05
74,Bambous Virieux,MU,2021-10-20 18:51:20,-20.3428,57.7575,74.21,83,75,8.05
75,Port Lincoln,AU,2021-10-20 18:51:27,-34.7333,135.8667,58.84,89,100,11.56
76,Campbellsville,US,2021-10-20 18:55:25,37.3434,-85.3419,73.6,42,0,5.99
77,San Policarpo,PH,2021-10-20 18:55:26,12.1791,125.5072,79.48,85,90,6.35
78,Tucurui,BR,2021-10-20 18:55:26,-3.7661,-49.6725,87.53,59,100,1.59
79,Buala,SB,2021-10-20 18:55:27,-8.145,159.5921,79.27,81,94,2.19
80,Chontalpa,MX,2021-10-20 18:55:27,17.7,-93.5167,80.69,81,100,3.22
81,Qaanaaq,GL,2021-10-20 18:51:17,77.484,-69.3632,11.95,78,13,6.53
82,Cockburn Town,TC,2021-10-20 18:55:28,21.4612,-71.1419,78.76,83,75,6.91
83,Faanui,PF,2021-10-20 18:51:09,-16.4833,-151.75,79.27,78,21,10.65
84,Opuwo,NA,2021-10-20 18:55:28,-18.0607,13.84,72.88,37,0,10.47
85,Adre,TD,2021-10-20 18:51:16,13.4667,22.2,84.24,25,100,5.19
86,Windham,US,2021-10-20 18:55:29,41.8334,-72.0001,75.09,54,9,9.86
87,Urumqi,CN,2021-10-20 18:54:03,43.801,87.6005,43.75,53,0,6.71
88,Tuktoyaktuk,CA,2021-10-20 18:51:05,69.4541,-133.0374,24.8,93,75,4.61
89,Quelimane,MZ,2021-10-20 18:51:19,-17.8786,36.8883,72.75,77,44,6.46
90,Katsuura,JP,2021-10-20 18:52:23,35.1333,140.3,58.19,53,100,11.3
91,Yellowknife,CA,2021-10-20 18:50:51,62.456,-114.3525,41.41,82,75,14.97
92,Alyangula,AU,2021-10-20 18:55:30,-13.8483,136.4192,80.47,89,57,5.75
93,Havelock,US,2021-10-20 18:55:30,34.8791,-76.9013,81.05,54,1,3.0
94,Hobart,AU,2021-10-20 18:51:25,-42.8794,147.3294,46.26,87,75,6.91
95,Laguna,US,2021-10-20 18:52:49,38.421,-121.4238,69.64,58,90,1.01
96,Khamanon,IN,2021-10-20 18:55:31,30.8186,76.3508,70.99,49,0,4.83
97,Luau,AO,2021-10-20 18:52:27,-10.7073,22.2247,69.8,74,61,3.22
98,Guiyang,CN,2021-10-20 18:55:32,26.5833,106.7167,50.49,93,90,4.47
99,Toppenish,US,2021-10-20 18:55:32,46.3774,-120.3087,66.2,66,97,18.19
100,Saint George,US,2021-10-20 18:51:47,37.1041,-113.5841,75.67,35,1,1.01
101,Tomatlan,MX,2021-10-20 18:55:33,19.9333,-105.25,89.98,59,9,5.03
